Kode,NIM,CAR,LDR,NPL,BOPO,CIR,LAR,Period,Bank_Metric_Source,Bank_Metric_Source_URL,Bank_Metric_Last_Update,Bank_Metric_Confidence,Bank_Metric_Notes
BKSW,3.12,45.15,80.12,,96.15,82.4,4.15,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BMAS,3.85,28.15,84.4,2.12,91.4,65.15,7.42,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BMRI,4.93,20.1,98.04,0.97,56.46,35.04,6.81,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BNBA,3.42,34.15,77.12,3.05,94.12,78.15,10.4,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BNGA,4.37,24.83,86.81,2.05,73.11,45.21,10.03,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BNII,4.9,25.6,85.2,2.7,83.4,46.2,8.8,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BNLI,4.4,38.7,81.3,1.9,81.1,53.5,7.6,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BRIS,6.1,24.08,83.74,1.81,67.49,44.55,10.26,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BRPT,4.93,20.1,98.04,0.97,56.46,35.04,6.81,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BSIM,6.1,30.55,81.42,2.33,95.95,75.41,12.05,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BSWD,2.68,60.33,81.19,91.24,91.24,72.58,6.58,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BTPN,6.4,29.8,92.2,1.3,83.5,53.2,11.4,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BTPS,21.7,57.74,84.7,2.59,79.28,48.82,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BUMI,5.4,23.2,83.0,1.9,65.9,42.4,5.9,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BVIC,2.12,19.45,81.1,4.15,93.4,60.15,12.11,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
DNAR,3.85,44.15,83.4,2.95,94.15,78.4,9.12,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
INPC,2.78,18.15,43.23,0.85,124.31,95.12,12.45,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
INTP,5.4,23.2,83.0,1.9,65.9,42.4,5.9,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
MASB,3.45,28.12,81.15,1.98,83.12,54.15,6.12,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
MAYA,3.67,10.1,77.93,3.47,99.15,85.12,11.4,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
MCOR,2.98,29.48,84.15,2.11,88.4,52.15,7.12,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
MEGA,5.12,26.85,68.4,1.62,69.58,43.22,6.15,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
NISP,5.4,23.2,83.0,1.9,65.9,42.4,5.9,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
NOBU,,23.84,,,,,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
PGAS,5.4,23.2,83.0,1.9,65.9,42.4,5.9,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
PNBN,3.67,32.41,87.4,3.03,81.11,50.49,9.47,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
PNBS,,21.94,,3.25,,,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
SDRA,3.3,31.09,,1.85,,,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
SUPA,4.85,92.15,62.4,0.85,112.4,98.15,2.45,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
