Kode,Nama_Perusahaan_Online,Sektor_Online,Industry_Online,Market_Cap_Online,Revenue_Online,PER_Online,PBV_Online,ROE_Online,ROA_Online,DER_Online,NPM_Online,Fundamental_Source,Snapshot_Updated_At
AADI,Pt Adaro Andalan Indonesia Tbk,Energy Minerals,Coal,62684481323242.0,80833406110935.89,5.746629701332707,1.1407311154611255,21.0444409805379,12.0376014316923,0.24188725186863,14.7584442500814,TradingView scanner,2026-06-13 01:14:00
AALI,PT Astra Agro Lestari Tbk,Process Industries,Agricultural Commodities/Milling,11644364544678.0,28654648000000.0,7.579257554341129,0.49691690541505457,6.69603702937442,5.44036566619117,0.0,5.38261085609617,TradingView scanner,2026-06-13 01:14:00
ABBA,PT Mahaka Media Tbk,Consumer Services,Publishing: Newspapers,137756248779.0,184444403229.0,,5.57314191448571,-141.146104507826,-11.1058904179825,8.24737595327858,-15.5710007174641,TradingView scanner,2026-06-13 01:14:00
ABDA,PT Asuransi Bina Dana Arta Tbk Class A,Finance,Property/Casualty Insurance,2067286113281.0,1066218646000.0,19.975346062558774,1.1867064887090952,,,0.0,10.0982461578007,TradingView scanner,2026-06-13 01:14:00
ABMM,PT ABM Investama Tbk,Energy Minerals,Coal,6332279589844.0,17090497546440.098,6.30515381188235,0.4415359768221199,7.19487830137612,3.06991057210651,1.0478035278117401,6.30604658802726,TradingView scanner,2026-06-13 01:14:00
ACES,PT Aspirasi Hidup Indonesia Tbk,Retail Trade,Home Improvement Chains,6015954312500.0,8638654030708.0,8.830197290419235,0.9116774329539995,10.3835255590428,8.07329204102662,0.154057597437621,7.79930084240147,TradingView scanner,2026-06-13 01:14:00
ACRO,PT Samcro Hyosung Adilestari Tbk Class A,Process Industries,Textiles,208160727539.0,,,,,,,,TradingView scanner,2026-06-13 01:14:00
ACST,PT Acset Indonusa Tbk,Industrial Services,Engineering & Construction,1237261210938.0,2370355000000.0,,,,-24.1085201903586,,-32.9117919168813,TradingView scanner,2026-06-13 01:14:00
ADCP,PT Adhi Commuter Properti Tbk,Finance,Real Estate Development,1111111132812.0,197344005737.0,,2.836703999582437,-141.806845515027,-35.699165383302,2.9139136905568304,-1295.05925649095,TradingView scanner,2026-06-13 01:14:00
ADES,PT Akasha Wira International Tbk,Consumer Non-Durables,Beverages: Non-Alcoholic,12918739691162.0,2726974000000.0,15.2518041671118,3.985506430503213,30.0620638755882,24.903629546445,0.0,27.4475168632147,TradingView scanner,2026-06-13 01:14:00
ADHI,PT Adhi Karya (Persero) Tbk,Industrial Services,Engineering & Construction,1261141406400.0,9666049684419.0,,0.4399168523737607,-87.0328031009322,-16.769346874541,2.83179749676757,-54.4024385690148,TradingView scanner,2026-06-13 01:14:00
ADMF,PT Adira Dinamika Multi Finance Tbk,Finance,Finance/Rental/Leasing,9948214959717.0,11815599000000.0,5.291701837123998,0.6451615471689558,13.1114360728839,4.86498731894079,1.33057289147781,15.669634101683366,TradingView scanner,2026-06-13 01:14:00
ADMG,PT Polychem Indonesia Tbk,Process Industries,Textiles,785614296875.0,2381540438242.91,,0.39945740103387967,0.220445087727273,0.163363173440093,0.000409809446636633,0.179634964684493,TradingView scanner,2026-06-13 01:14:00
ADMR,PT Alamtri Minerals Indonesia Tbk,Energy Minerals,Coal,59892616425781.0,16016800079511.6,13.18988323394163,2.2974598423347397,18.579075966096,10.645861143459,0.582618065438599,28.215660450095,TradingView scanner,2026-06-13 01:14:00
ADRO,PT Alamtri Resources Indonesia Tbk,Energy Minerals,Coal,63365387695312.0,30842268465906.9,7.990324698058596,0.7892089357655613,10.2056973015878,7.24616316507828,0.216417911972027,25.4446901081453,TradingView scanner,2026-06-13 01:14:00
AEGS,PT Anugerah Spareparts Sejahtera Tbk,Producer Manufacturing,Auto Parts: OEM,,,,,,,,,TradingView scanner,2026-06-13 01:14:00
AGAR,PT Asia Sejahtera Mina Tbk,Distribution Services,Food Distributors,218000000000.0,234569706036.0,43.706116832925275,1.9095391203566596,4.46152923220133,2.57847591212574,0.352441870503932,2.0790243292158,TradingView scanner,2026-06-13 01:14:00
AGII,PT Samator Indo Gas Tbk,Process Industries,Chemicals: Specialty,7761332775879.0,3008803000000.0,95.7693530923138,2.167843117917513,2.29059305265692,1.03790260874971,1.05032675980253,2.80018350946849,TradingView scanner,2026-06-13 01:14:00
AGRO,PT Bank Raya Indonesia Tbk,Finance,Major Banks,3463669179688.0,1231290642000.0,,1.2634200731177174,-15.855291729278,-3.8891717561872,0.380682063138976,-65.51801546125994,TradingView scanner,2026-06-13 01:14:00
AGRS,PT Bank IBK Indonesia Tbk,Finance,Regional Banks,2919727351562.0,1490490000000.0,16.485415724959452,0.507368587648701,3.13126993474506,0.79684865554863,0.910529107096512,26.67273177171695,TradingView scanner,2026-06-13 01:14:00
AHAP,PT Asuransi Harta Aman Pratama Tbk,Finance,Multi-Line Insurance,382200000000.0,812804474321.0,,2.332938156370017,,,0.19645427145181502,-0.82936002038298,TradingView scanner,2026-06-13 01:14:00
AIMS,PT Artha Mahiya Investama Tbk,Distribution Services,Medical Distributors,85360000000.0,262500000.0,,,-141.02980478636,-18.8562696787318,,-58.2654643956044,TradingView scanner,2026-06-13 01:14:00
AISA,PT FKS Food Sejahtera Tbk Class A,Consumer Non-Durables,Food: Specialty/Candy,949803580078.0,1957977000000.0,14.364546592331322,0.8004145037644049,5.84062262626857,3.1172060030247,0.21021079111653102,3.30382215583819,TradingView scanner,2026-06-13 01:14:00
AKPI,PT Argha Karya Prima Industry Tbk,Process Industries,Containers/Packaging,287756553345.0,2938710803000.0,9.764435412610236,0.16907754165914943,1.75123035698738,0.882168587522202,0.6929174749459329,1.08064669234168,TradingView scanner,2026-06-13 01:14:00
AKRA,PT AKR Corporindo Tbk,Distribution Services,Wholesale Distributors,24967519951172.0,46018468072000.0,9.640494395402179,1.929959902381084,20.5375995848839,7.35655490894772,0.431207846271097,5.26430475198541,TradingView scanner,2026-06-13 01:14:00
AKSI,PT Mineral Sumberdaya Mandiri Tbk,Finance,Financial Conglomerates,127440000000.0,455878503460.0,,0.7855615672717364,-6.04447561657531,-3.16709189974042,0.479869083500373,-2.65203085206705,TradingView scanner,2026-06-13 01:14:00
ALDO,PT Alkindo Naratama Tbk,Process Industries,Containers/Packaging,1919292514648.0,2119242447464.0,45.91906520507259,1.789319120166662,3.96352935549692,1.98386114877618,0.6045374974072231,1.90647526495328,TradingView scanner,2026-06-13 01:14:00
ALII,PT Ancara Logistics Indonesia Tbk,Consumer Services,Hotels/Resorts/Cruise lines,12423252846680.0,970228976000.0,35.1357037660425,6.0212797072634086,18.445019749172,13.3558122698589,0.102659062615916,38.6059629655589,TradingView scanner,2026-06-13 01:14:00
ALKA,"PT Alakasa Industrindo, Tbk Class A",Non-Energy Minerals,Aluminum,312214017792.0,170523601000.0,18.340169214586044,1.3364565328447338,7.59703606348374,6.97022702332366,2.17566586395185e-05,13.9933853632306,TradingView scanner,2026-06-13 01:14:00
AMAG,PT Asuransi Multi Artha Guna Tbk,Finance,Property/Casualty Insurance,1890499447266.0,2959569625000.0,,0.879617866933439,,,0.0,,TradingView scanner,2026-06-13 01:14:00
AMAN,PT Makmur Berkah Amanda Tbk,Finance,Real Estate Development,945134000000.0,234766510000.0,21.643335151373485,1.158989159325359,5.49130506671891,3.15707614043307,0.401627651732141,19.7202654479954,TradingView scanner,2026-06-13 01:14:00
AMAR,PT Bank Amar Indonesia Tbk,Finance,Regional Banks,3510788906250.0,1876208000000.0,14.083304882212358,1.0246647146976355,7.35190956399664,4.19237199755003,0.101059998799145,13.764146923655526,TradingView scanner,2026-06-13 01:14:00
AMFG,PT Asahimas Flat Glass Tbk,Process Industries,Industrial Specialties,1232560000000.0,5085991000000.0,54.093101179534834,0.29590559125246824,0.554944587935105,0.347116054063251,0.234643990388828,0.499152704179375,TradingView scanner,2026-06-13 01:14:00
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk,Producer Manufacturing,Industrial Machinery,289440000000.0,365900306624.0,11.279728592376639,1.3900694826230888,12.7901644724765,8.28514411765025,0.006201038988842011,7.51474930066375,TradingView scanner,2026-06-13 01:14:00
AMMN,PT Amman Mineral Internasional Tbk,Non-Energy Minerals,Precious Metals,221905749375000.0,30397675620505.797,27.27496964177292,2.679502410033784,10.4352103300811,4.23109499586067,1.1879993233900301,20.7419357236326,TradingView scanner,2026-06-13 01:14:00
AMMS,PT Agung Menjangan Mas Tbk,Process Industries,Agricultural Commodities/Milling,,15638309272.0,,5.462899997118654,-0.648487093705341,-0.637525228110998,0.0,-2.92404946753888,TradingView scanner,2026-06-13 01:14:00
AMOR,PT Ashmore Asset Management Indonesia Tbk,Finance,Investment Managers,693333392578.0,285235000000.0,9.320666786162395,2.585190734875267,27.8836903828163,20.9262445409273,0.0321884037179381,22.6272200239256,TradingView scanner,2026-06-13 01:14:00
