Kode,Penutupan,Sebelumnya,%Change,Open,High,Low,Volume,Online_Last_Date,Close_Online,Volume_Online_Latest,Return_4W,Return_13W,Return_26W,Return_52W,Return_YTD,Price_Source,Volume_Source,Snapshot_Updated_At
AADI,8050.0,7975.0,0.940438871473348,8000.0,8200.0,7900.0,17972300.0,2026-06-11,8050.0,17972300.0,-6.885662479503596,-18.246496848703554,14.674374689949875,27.761825373521454,21.180715195844414,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AALI,6050.0,6175.0,-2.0242914979757054,6200.0,6325.0,6025.0,2356000.0,2026-06-11,6050.0,2356000.0,-20.394736842105267,-13.637573900570011,-20.947244739939507,7.17206191525428,-14.515833033217007,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ABBA,35.0,36.0,-2.777777777777779,34.0,35.0,34.0,531600.0,2026-06-11,35.0,531600.0,-14.634146341463417,-12.5,-36.36363636363637,-10.256410256410254,-40.67796610169492,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ABDA,3330.0,3360.0,-0.8928571428571397,3300.0,3360.0,3300.0,700.0,2026-06-11,3330.0,700.0,-2.346041055718473,24.25373134328359,23.7918215613383,-2.0588235294117685,-7.7562326869806135,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ABMM,2300.0,2330.0,-1.2875536480686733,2330.0,2360.0,2270.0,1033800.0,2026-06-11,2300.0,1033800.0,-16.666666666666664,-19.888540578195745,-17.95481331384504,-24.225783164994,-13.793103448275868,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ACES,352.0,348.0,1.1494252873563315,352.0,356.0,348.0,40272300.0,2026-06-11,352.0,40272300.0,-4.86486486486486,-6.382978723404253,-16.19047619047619,-28.90949704225527,-14.146341463414636,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ACRO,60.0,61.0,-1.6393442622950838,62.0,63.0,57.0,3956400.0,2026-06-11,60.0,3956400.0,-16.666666666666664,-14.28571428571429,-31.818181818181824,-6.25,-32.58426966292135,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ACST,70.0,71.0,-1.4084507042253502,71.0,71.0,70.0,589400.0,2026-06-11,70.0,589400.0,-25.531914893617024,-35.18518518518518,-48.529411764705884,-24.731182795698924,-48.90510948905109,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADCP,50.0,50.0,0.0,50.0,50.0,50.0,0.0,2026-06-11,50.0,0.0,0.0,0.0,-12.28070175438597,0.0,-10.71428571428571,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADES,21900.0,21800.0,0.4587155963302836,22000.0,22100.0,21425.0,34800.0,2026-06-11,21900.0,34800.0,0.6896551724137945,48.47457627118643,41.747572815533985,108.07600950118763,43.37152209492634,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADHI,150.0,155.0,-3.2258064516129004,155.0,155.0,147.0,3369700.0,2026-06-11,150.0,3369700.0,-23.469387755102044,-28.57142857142857,-39.516129032258064,-44.44444444444444,-44.85294117647059,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADMF,8050.0,8100.0,-0.6172839506172867,8100.0,8100.0,8000.0,24800.0,2026-06-11,8050.0,24800.0,-6.122448979591832,2.655912901877633,1.750126366813709,-3.6349763231632526,2.050271816925542,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADMG,202.0,202.0,0.0,202.0,204.0,198.0,76900.0,2026-06-11,202.0,76900.0,1.0000000000000009,-3.809523809523807,21.68674698795181,75.65217391304348,-11.403508771929827,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADMR,1465.0,1540.0,-4.870129870129869,1515.0,1570.0,1435.0,30318000.0,2026-06-11,1465.0,30318000.0,-17.464788732394364,-22.60581139990252,16.69124213815838,52.824056066693956,-8.49136967404137,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ADRO,2250.0,2300.0,-2.1739130434782594,2300.0,2320.0,2250.0,27135700.0,2026-06-11,2250.0,27135700.0,-10.71428571428571,0.47880067387084946,40.58744837518604,27.902864879838486,29.739107690287025,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AEGS,39.0,40.0,-2.500000000000002,40.0,40.0,38.0,730800.0,2026-06-11,39.0,730800.0,-21.999999999999996,-20.408163265306122,-54.117647058823536,18.181818181818187,-36.065573770491795,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AGAR,218.0,218.0,0.0,220.0,222.0,216.0,19700.0,2026-06-11,218.0,19700.0,-9.166666666666668,-2.67857142857143,-11.382113821138207,-9.166666666666668,-8.403361344537819,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AGII,2550.0,2650.0,-3.7735849056603765,2650.0,2650.0,2530.0,76700.0,2026-06-11,2550.0,76700.0,-15.56291390728477,-23.42342342342343,63.9871382636656,131.7131919208748,60.377358490566046,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AGRO,140.0,142.0,-1.4084507042253502,143.0,146.0,137.0,7335200.0,2026-06-11,140.0,7335200.0,-21.78770949720671,-20.903954802259882,-39.6551724137931,-35.77981651376147,-39.6551724137931,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AGRS,61.0,63.0,-3.1746031746031744,63.0,63.0,60.0,886100.0,2026-06-11,61.0,886100.0,-8.955223880597018,-11.594202898550721,-21.794871794871796,-8.955223880597018,-23.750000000000004,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AHAP,78.0,79.0,-1.2658227848101222,79.0,83.0,77.0,15757700.0,2026-06-11,78.0,15757700.0,-25.71428571428571,-27.77777777777778,-20.408163265306122,8.333333333333325,-36.58536585365854,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AIMS,388.0,376.0,3.1914893617021267,376.0,388.0,376.0,134800.0,2026-06-11,388.0,134800.0,-11.818181818181817,-7.177033492822971,-9.345794392523366,14.792899408284033,1.041666666666674,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AISA,102.0,102.0,0.0,102.0,103.0,98.0,1568800.0,2026-06-11,102.0,1568800.0,-16.393442622950815,-15.000000000000002,-29.655172413793107,-34.193548387096776,-24.444444444444446,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AKKU,38.0,38.0,0.0,38.0,38.0,38.0,0.0,2026-06-11,38.0,0.0,0.0,-2.564102564102566,2.7027027027026973,31.034482758620683,18.75,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AKPI,461.72998046875,461.72998046875,0.0,463.69478889627663,465.6595973238032,459.7651720412234,252800.0,2026-06-11,461.72998046875,252800.0,-12.149530756729165,-5.622491162304211,-16.81416376835164,-20.572025418685534,-18.965515763891684,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AKRA,1265.0,1240.0,2.016129032258074,1270.0,1290.0,1245.0,35594200.0,2026-06-11,1265.0,35594200.0,-13.058419243986252,3.721225984474774,2.1005789543274256,3.311252204100268,2.1005789543274256,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AKSI,177.0,180.0,-1.6666666666666718,182.0,200.0,177.0,157700.0,2026-06-11,177.0,157700.0,-39.38356164383562,-42.532467532467535,-66.28571428571428,-37.23404255319149,-64.31451612903226,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ALDO,715.0,690.0,3.6231884057970953,700.0,720.0,690.0,157500.0,2026-06-11,715.0,157500.0,9.160305343511443,30.000000000000004,21.18644067796611,43.719765497949425,-8.333333333333337,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ALII,785.0,785.0,0.0,785.0,800.0,765.0,664900.0,2026-06-11,785.0,664900.0,-15.135135135135137,3.9735099337748325,27.642276422764223,31.932773109243694,-40.07633587786259,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ALKA,615.0,610.0,0.8196721311475308,665.0,665.0,615.0,235600.0,2026-06-11,615.0,235600.0,6.956521739130439,8.849557522123884,73.72881355932203,75.71428571428571,68.95604395604396,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ALMI,74.0,74.0,0.0,74.0,74.0,74.0,0.0,2026-06-11,74.0,0.0,0.0,0.0,0.0,0.0,0.0,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ALTO,18.0,18.0,0.0,18.0,18.0,18.0,0.0,2026-06-11,18.0,0.0,0.0,0.0,0.0,-18.181818181818176,0.0,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMAG,378.0,376.0,0.5319148936170137,374.0,378.0,362.0,9200.0,2026-06-11,378.0,9200.0,-6.435643564356431,-2.581825011490757,6.088904876920709,8.358186314292793,2.3382890641175935,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMAN,244.0,240.0,1.6666666666666607,246.0,246.0,236.0,59300.0,2026-06-11,244.0,59300.0,-12.230215827338132,-8.270676691729328,35.555555555555564,132.3809523809524,20.79207920792079,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMAR,191.0,191.0,0.0,192.0,196.0,190.0,476000.0,2026-06-11,191.0,476000.0,-3.0456852791878153,-0.520833333333337,-19.86574570631706,26.31673699469652,-13.181818181818183,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMFG,2840.0,2840.0,0.0,2840.0,2840.0,2830.0,19600.0,2026-06-11,2840.0,19600.0,-12.615384615384617,-12.615384615384617,-10.126582278481012,-30.010953838289677,-16.959064327485386,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMIN,268.0,272.0,-1.4705882352941124,284.0,284.0,256.0,37300.0,2026-06-11,268.0,37300.0,6.349206349206349,15.517241379310342,6.349206349206349,77.42469022537448,7.200000000000006,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMMN,3060.0,3310.0,-7.552870090634444,3270.0,3340.0,3000.0,129982200.0,2026-06-11,3060.0,129982200.0,-17.2972972972973,-46.31578947368421,-52.74131274131274,-62.68292682926829,-55.00000000000001,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMMS,320.0,344.0,-6.976744186046513,344.0,344.0,320.0,58700.0,2026-06-11,320.0,58700.0,-18.781725888324875,-23.809523809523814,-21.568627450980394,280.9523809523809,-36.633663366336634,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMOR,312.0,310.0,0.6451612903225712,310.0,318.0,308.0,30900.0,2026-06-11,312.0,30900.0,-12.35955056179775,-1.2658227848101222,-17.119112998520023,-33.18365316935351,-16.69189200112713,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
AMRT,1335.0,1370.0,-2.5547445255474477,1370.0,1370.0,1325.0,79549300.0,2026-06-11,1335.0,79549300.0,-5.653710247349819,-6.968641114982576,-27.642276422764223,-45.286885245901644,-32.7455919395466,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ANDI,17.0,16.0,6.25,17.0,17.0,16.0,6261200.0,2026-06-11,17.0,6261200.0,-26.086956521739136,-34.61538461538461,-52.77777777777778,-10.526315789473683,-37.03703703703704,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ANJT,1450.0,1390.0,4.316546762589923,1485.0,1545.0,1340.0,164600.0,2026-06-11,1450.0,164600.0,-18.07909604519774,-5.228758169934644,-20.98092643051771,-17.14285714285714,-18.99441340782123,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
ANTM,2720.0,2750.0,-1.0909090909090868,2750.0,2790.0,2640.0,276318200.0,2026-06-11,2720.0,276318200.0,-22.285714285714285,-28.79581151832461,-6.529209621993126,-13.47181421889524,-15.264797507788163,history cache snapshot,history cache snapshot,2026-06-13 01:06:00
